location,vaccinations
China,823674000
United States,296601579
India,240392878
United Kingdom,68994237
Brazil,62438872
Germany,60712055
France,44304246
Italy,42727325
Turkey,34481564
Mexico,32506145
Canada,29470741
Russia,24120967
Spain,22994873
Chile,20443326
Indonesia,19727879
Japan,17072251
Poland,16744020
Argentina,15908085
South Korea,15761751
Saudi Arabia,14851339
Morocco,12040252
United Arab Emirates,11990455
Israel,10627890
Colombia,9232599
Belgium,8582389
Romania,8536197
Hungary,8371301
Portugal,6863317
Czechia,6659786
Austria,6283351
Greece,6032059
Australia,5867299
Thailand,5636251
Switzerland,5588772
Peru,5384546
Cambodia,5356099
Dominican Republic,4788051
Denmark,4227343
Bangladesh,4106220
Malaysia,3726298
Norway,3308560
Uruguay,3303917
Slovakia,3009146
Hong Kong,2964758
Mongolia,2904502
Finland,2719093
Sri Lanka,2429324
Serbia,2293165
Qatar,2158785
Kazakhstan,2050259
Lithuania,1966883
Azerbaijan,1902355
Ecuador,1773232
Ukraine,1667474
Bolivia,1618367
Bulgaria,1583431
Cuba,1545964
Philippines,1486298
South Africa,1466533
Bahrain,1451844
Pakistan,1378815
Croatia,1363869
Slovenia,1318732
Ireland,1318590
El Salvador,1310523
Tunisia,1199950
Nigeria,1110632
Zimbabwe,1106889
Panama,1040591
Vietnam,999010
Latvia,957526
Lebanon,882320
Ethiopia,868485
Estonia,829608
New Zealand,775415
Guatemala,635762
Cote d'Ivoire,597431
Albania,593939
Malta,575560
Nepal,513586
Taiwan,498242
Uganda,483474
Bhutan,482131
Maldives,465330
Paraguay,419379
Moldova,409866
Senegal,334225
North Macedonia,317993
Sweden,312496
Laos,304021
Rwanda,274277
Egypt,250171
Luxembourg,246577
Macao,237875
Jordan,234336
Montenegro,232845
Kenya,231355
Palestine,208522
Georgia,206123
Iran,204060
Malawi,203440
Cyprus,172159
Trinidad and Tobago,166976
Barbados,143340
Iceland,125634
Ghana,120680
Curacao,119941
Guinea,117719
Honduras,95028
Uzbekistan,78652
Namibia,77815
Aruba,72412
Zambia,70669
Gibraltar,66867
Suriname,66415
Oman,65081
Isle of Man,58400
Singapore,55206
Brunei,42368
Seychelles,41548
Belize,41211
Sudan,39038
Fiji,28295
Liechtenstein,25780
San Marino,19147
Greenland,13971
Faeroe Islands,11546
Cayman Islands,11175
Iraq,9985
Guernsey,8471
Sierra Leone,7981
Afghanistan,6874
Dominica,6417
Saint Lucia,5922
Antigua and Barbuda,5841
Andorra,4802
Myanmar,3800
Jamaica,3784
Northern Cyprus,1988
Kosovo,1800
Somalia,1738
Gabon,1486
Anguilla,1421
Eswatini,1365
Grenada,1037
French Polynesia,855
Saint Vincent and the Grenadines,809
Cameroon,400
Saint Kitts and Nevis,299
Kyrgyzstan,205
Nauru,168
Bahamas,110
Algeria,30
Comoros,NULL
Samoa,NULL
Bosnia and Herzegovina,NULL
Kuwait,NULL
Turks and Caicos Islands,NULL
Monaco,NULL
Mali,NULL
Angola,NULL
Sao Tome and Principe,NULL
Falkland Islands,NULL
Gambia,NULL
Liberia,NULL
Guinea-Bissau,NULL
Democratic Republic of Congo,NULL
Bermuda,NULL
Netherlands,NULL
Madagascar,NULL
Belarus,NULL
Marshall Islands,NULL
Burundi,NULL
Cape Verde,NULL
Guyana,NULL
South Sudan,NULL
Montserrat,NULL
Togo,NULL
Central African Republic,NULL
Syria,NULL
Tonga,NULL
New Caledonia,NULL
Jersey,NULL
Tuvalu,NULL
Wallis and Futuna,NULL
Equatorial Guinea,NULL
Botswana,NULL
Mauritius,NULL
Chad,NULL
Nicaragua,NULL
Solomon Islands,NULL
Armenia,NULL
Kiribati,NULL
British Virgin Islands,NULL
Vatican,NULL
Libya,NULL
Saint Helena,NULL
Burkina Faso,NULL
Djibouti,NULL
Costa Rica,NULL
Timor,NULL
Vanuatu,NULL
Micronesia (country),NULL
Bonaire Sint Eustatius and Saba,NULL
Lesotho,NULL
Congo,NULL
Tanzania,NULL
Niger,NULL
Mauritania,NULL
Benin,NULL
Mozambique,NULL
Haiti,NULL
Sint Maarten (Dutch part),NULL
Yemen,NULL
Papua New Guinea,NULL
Cook Islands,NULL
Eritrea,NULL
Venezuela,NULL
Tajikistan,NULL
Turkmenistan,NULL
